GS,MP,FG,FGA,2P,2PA,FT,FTA,DRB,TRB,AST,STL,TOV,PTS
78.0,29.8,6.0,13.3,5.6,12.0,2.5,3.1,4.8,6.4,1.3,1.0,1.7,14.8
69.0,35.8,5.5,9.4,5.5,9.4,3.7,5.4,6.3,9.3,2.4,1.0,2.0,14.6
69.0,32.6,5.3,11.3,3.6,6.7,2.1,2.7,8.4,10.2,2.1,1.0,1.4,14.6
17.0,25.6,5.5,12.1,3.8,7.8,2.0,2.4,1.9,2.9,1.6,0.8,1.0,14.5
69.0,29.9,5.8,11.2,5.8,11.1,2.7,3.2,6.2,7.3,2.7,1.0,1.5,14.3
81.0,35.1,5.8,10.5,5.8,10.4,2.6,3.3,7.0,9.9,2.3,0.7,1.5,14.2
36.0,27.9,5.9,12.3,5.7,11.8,2.1,2.9,4.3,6.3,2.1,1.0,2.2,14.1
72.0,32.9,4.9,11.2,2.5,5.3,2.0,2.5,3.6,4.4,1.5,1.1,1.5,14.1
22.0,28.6,4.9,10.8,4.3,9.0,3.8,4.6,7.2,11.0,2.3,0.7,2.0,14.0
66.0,30.5,4.9,11.1,4.7,10.1,3.9,4.8,2.3,3.2,5.4,1.1,2.1,14.0
38.0,29.9,5.0,10.6,3.9,7.4,3.0,3.6,2.5,2.9,4.2,1.3,1.7,14.0
7.0,25.7,5.3,9.8,4.2,6.8,2.1,3.1,3.2,4.6,1.1,0.6,0.8,13.9
24.0,30.9,4.9,11.3,4.5,10.4,3.7,4.7,2.3,2.8,4.0,0.7,2.3,13.8
0.0,22.3,5.0,8.7,4.7,8.3,2.0,4.0,1.0,1.3,3.7,0.3,2.3,12.3
24.0,31.9,4.8,11.6,4.5,10.6,3.9,4.8,2.4,3.0,4.1,0.7,2.3,13.9
17.0,27.9,4.7,11.3,3.5,7.5,3.2,3.7,1.5,1.9,2.7,0.8,1.9,13.8
82.0,33.6,5.1,8.7,5.1,8.7,3.6,5.1,5.6,7.6,2.5,1.4,1.5,13.8
45.0,32.0,5.7,12.1,5.0,10.1,1.7,2.5,3.3,5.2,1.4,1.2,1.9,13.8
81.0,36.6,5.7,11.2,5.5,10.2,2.2,3.5,3.2,4.4,9.8,2.3,3.0,13.7
70.0,28.4,5.6,10.6,5.6,10.6,2.3,3.2,5.2,6.9,1.3,0.4,1.8,13.6
81.0,28.9,4.9,11.8,4.0,9.1,2.8,3.3,2.1,2.4,4.4,1.0,2.9,13.5
73.0,29.4,4.9,10.6,3.7,7.7,2.7,3.3,5.2,7.1,1.6,0.5,1.7,13.5
49.0,34.0,5.8,11.8,5.2,10.3,1.4,2.0,3.6,5.1,3.3,0.7,1.2,13.5
57.0,30.2,5.4,11.3,5.4,11.3,2.3,3.1,3.7,6.1,1.4,1.1,1.7,13.1
82.0,30.3,5.0,11.6,4.0,8.7,2.0,3.1,2.5,3.4,2.4,1.4,2.0,13.0
37.0,29.2,4.8,10.2,2.7,5.7,1.5,1.7,2.9,3.8,1.5,0.9,1.2,13.0
41.0,31.4,5.3,10.6,4.3,8.1,1.5,1.8,2.3,2.8,4.7,1.1,1.7,12.9
12.0,26.2,4.5,11.1,3.8,8.6,3.1,4.0,2.7,3.6,1.4,0.7,1.3,12.7
9.0,26.7,4.4,11.0,3.8,8.6,3.0,3.8,2.8,3.6,1.4,0.7,1.4,12.5
64.0,28.6,4.9,10.9,3.6,7.4,1.5,1.8,2.6,3.0,5.4,0.7,2.1,12.6
55.0,31.4,4.5,11.1,2.4,5.4,1.5,1.7,3.0,3.7,1.5,0.8,0.9,12.6
66.0,33.5,4.8,10.9,3.7,7.7,1.9,2.2,2.7,3.5,1.7,1.3,1.1,12.5
58.0,31.4,4.9,10.5,4.9,10.3,2.6,3.7,5.5,8.5,1.7,0.5,1.9,12.5
37.0,27.8,4.9,10.4,4.3,8.9,1.9,2.3,2.0,2.5,5.7,1.0,2.7,12.4
43.0,29.2,4.5,9.5,3.6,7.1,2.3,3.0,2.1,2.6,2.9,0.9,1.3,12.4
70.0,31.1,4.5,9.6,3.7,7.3,2.6,3.5,3.7,4.4,2.0,0.6,1.3,12.3
80.0,33.0,4.9,10.6,4.1,8.6,1.7,2.2,2.9,3.6,5.6,1.5,2.1,12.1
80.0,32.1,4.6,10.4,3.6,7.7,1.7,2.3,2.0,2.4,5.3,1.4,2.1,12.0
51.0,31.8,4.4,10.8,4.1,10.0,3.0,3.7,4.9,7.2,0.9,0.7,1.5,12.0
75.0,31.8,5.3,10.4,5.2,10.1,1.4,1.9,4.3,6.4,1.4,0.9,1.3,12.0
53.0,23.4,4.9,8.7,4.9,8.7,2.1,4.3,4.9,6.7,1.5,0.3,2.0,12.0
64.0,33.0,4.3,10.6,2.6,5.3,1.5,1.8,2.5,2.9,1.4,0.4,1.0,11.9
35.0,29.0,4.2,8.3,3.8,6.8,3.0,4.0,3.2,4.6,2.7,1.4,1.4,11.9
12.0,27.3,4.2,11.8,3.2,8.5,2.6,3.7,2.4,3.0,2.2,1.1,0.8,11.9
16.0,23.7,4.7,10.6,3.4,7.0,1.4,1.7,3.6,4.7,0.7,0.6,0.9,11.9
5.0,30.0,4.7,10.2,2.7,5.7,0.5,0.5,3.0,3.8,2.2,0.7,0.8,11.8
5.0,31.4,4.8,11.0,3.0,6.2,0.6,0.6,3.2,4.2,2.0,0.8,1.0,12.0
29.0,31.0,4.2,9.8,3.1,6.5,2.2,2.9,5.1,7.0,1.9,0.7,1.0,11.7
29.0,32.3,4.4,10.2,3.3,6.8,2.3,3.0,5.3,7.3,2.0,0.7,1.0,12.3
69.0,25.1,4.8,9.7,4.7,9.6,2.1,2.8,3.5,5.7,2.0,0.4,1.8,11.7
8.0,27.8,4.7,8.7,4.7,8.6,2.2,3.2,4.5,6.8,1.6,0.8,1.4,11.6
8.0,22.7,4.2,9.4,4.1,9.2,3.3,4.1,4.3,6.5,1.3,0.8,1.5,11.6
58.0,34.2,4.9,10.7,4.7,10.2,1.6,2.9,7.0,9.4,1.9,1.2,1.6,11.5
43.0,27.4,3.9,8.2,2.9,5.8,2.5,2.9,2.3,2.7,5.0,0.7,2.0,11.4
82.0,35.4,4.5,9.4,3.7,6.9,1.4,1.8,3.6,5.2,4.0,0.7,2.2,11.3
81.0,30.0,4.1,8.7,3.7,7.7,2.5,3.1,4.6,5.5,2.4,0.7,1.3,11.3
69.0,30.7,3.7,9.1,2.3,5.2,2.4,3.1,4.1,4.6,4.1,0.7,1.7,11.3
41.0,27.0,3.9,8.7,1.8,3.8,1.2,1.5,4.5,5.3,1.4,0.8,0.9,11.2
77.0,33.8,4.0,9.6,2.6,5.8,1.7,2.4,3.0,4.3,3.0,1.4,1.6,11.0
66.0,30.4,4.0,9.8,2.2,4.9,1.2,1.6,4.6,5.3,2.7,1.1,1.6,11.0
33.0,25.1,4.1,8.6,4.1,8.5,2.7,3.1,4.8,7.7,0.7,0.6,1.5,10.9
11.0,22.4,3.4,7.3,3.4,7.2,2.0,2.5,4.2,6.9,0.6,0.6,1.2,8.9
22.0,30.2,5.5,11.1,5.5,11.0,3.9,4.2,5.9,9.4,0.9,0.6,2.2,14.8
64.0,29.1,4.3,9.6,3.3,7.0,1.4,1.7,3.6,4.6,1.6,0.8,1.3,10.9
53.0,33.5,4.2,10.2,2.8,6.4,1.1,1.5,3.2,3.5,4.5,1.1,1.5,10.9
50.0,33.4,4.0,8.0,2.5,4.9,1.3,1.6,5.2,6.2,3.9,0.7,2.1,10.9
38.0,31.5,4.2,9.0,3.5,6.8,1.7,2.5,7.5,9.8,3.3,0.9,1.8,10.8
46.0,27.7,4.3,9.0,4.1,8.6,2.0,2.8,2.4,3.9,1.2,0.6,1.4,10.7
30.0,27.5,4.3,9.0,4.2,8.7,2.0,2.7,2.1,3.8,1.2,0.5,1.3,10.7
16.0,28.1,4.2,9.0,3.9,8.3,2.1,3.0,3.0,4.3,1.2,0.8,1.5,10.7
31.0,23.4,4.0,9.0,3.0,6.0,1.4,2.0,4.4,6.4,1.0,0.7,0.9,10.4
0.0,21.5,4.0,8.4,3.2,6.2,1.5,1.7,1.5,1.7,4.0,0.7,1.3,10.4
39.0,26.7,4.0,8.4,3.0,5.8,1.2,1.5,1.8,2.1,5.9,0.7,1.5,10.3
31.0,25.1,3.9,8.7,2.9,6.1,1.5,2.3,3.6,4.5,1.2,0.7,1.3,10.3
32.0,25.3,4.0,8.9,3.8,7.8,2.2,2.9,2.3,3.2,3.8,0.9,1.9,10.3
80.0,36.0,3.6,8.4,1.4,3.2,1.0,1.2,5.0,5.6,9.1,1.8,2.4,10.3
15.0,27.5,3.8,8.1,3.1,5.9,2.0,2.6,2.2,2.6,2.8,1.6,1.1,10.3
26.0,24.9,3.8,8.2,3.7,7.8,2.6,3.4,2.4,3.0,2.0,0.5,1.7,10.2
2.0,19.9,3.8,8.8,2.3,4.8,0.9,1.2,1.5,2.0,2.9,0.9,1.3,10.1
2.0,24.4,5.1,11.2,3.4,6.7,1.4,1.8,1.6,2.4,3.7,0.9,1.8,13.2
0.0,14.7,2.4,6.0,1.0,2.7,0.3,0.5,1.3,1.5,2.0,0.8,0.8,6.5
25.0,24.8,3.8,7.2,2.3,3.7,1.2,1.4,2.9,3.8,1.2,0.6,0.7,10.1
38.0,23.8,3.7,8.8,2.8,6.2,1.8,2.1,1.6,1.9,3.3,0.5,1.3,10.1
78.0,27.6,4.0,6.7,4.0,6.7,2.1,3.6,5.6,7.6,1.0,0.3,2.1,10.1
81.0,30.5,3.7,8.2,3.2,6.6,2.2,2.7,3.8,5.1,1.1,0.8,0.9,10.1
20.0,26.5,3.8,8.5,3.6,7.6,2.3,2.8,1.9,2.3,4.5,0.9,1.8,10.0
59.0,26.4,4.3,9.3,4.0,8.0,1.0,1.5,4.0,6.1,2.2,0.4,1.8,10.0
2.0,22.3,3.6,9.1,2.7,6.2,1.9,2.6,2.1,2.4,1.8,0.6,1.2,9.9
1.0,21.6,3.5,8.9,2.6,6.1,2.0,2.8,1.8,2.1,1.8,0.6,1.4,9.9
1.0,23.4,3.7,9.4,2.8,6.3,1.7,2.2,2.5,2.9,1.8,0.6,0.9,10.1
15.0,22.2,3.4,8.3,2.3,4.8,2.0,2.4,3.1,3.5,1.5,0.6,1.1,9.9
0.0,22.9,3.1,7.6,1.8,4.3,2.6,3.2,2.6,3.2,1.8,1.1,1.4,9.9
28.0,23.8,3.8,8.9,2.7,5.5,1.0,1.5,2.0,2.7,1.7,0.9,1.3,9.9
38.0,25.8,3.8,8.6,3.6,7.7,2.0,2.3,2.3,3.0,1.4,0.8,1.4,9.8
6.0,20.5,3.5,7.2,3.5,7.1,2.7,3.6,2.5,4.1,0.7,0.3,1.1,9.6
6.0,21.3,3.8,7.9,3.8,7.8,2.6,3.6,2.6,4.4,0.7,0.4,1.2,10.2
0.0,19.0,3.0,6.1,3.0,6.1,2.8,3.6,2.2,3.6,0.6,0.3,0.8,8.7
9.0,22.0,3.0,6.7,1.6,3.4,2.3,2.7,1.7,1.9,1.9,0.3,0.8,9.6
5.0,17.9,3.5,8.3,2.5,5.2,1.5,1.7,1.3,1.6,1.5,0.5,1.0,9.5
13.0,21.9,3.4,6.6,2.0,3.3,1.1,1.4,2.1,2.5,1.1,0.7,0.8,9.4
13.0,27.4,4.3,8.4,2.5,4.1,1.4,1.7,2.5,3.1,1.4,0.9,1.0,11.9
3.0,22.6,3.6,7.8,3.6,7.7,2.2,3.2,4.7,6.2,1.0,1.2,1.7,9.4
3.0,23.4,3.4,7.1,3.4,7.0,2.0,3.1,4.9,6.3,1.1,1.4,1.8,8.8
0.0,21.7,3.8,8.6,3.8,8.5,2.5,3.4,4.5,6.1,0.9,0.9,1.6,10.1
48.0,24.7,3.3,6.9,2.6,4.9,2.0,2.4,1.7,2.3,1.5,0.8,1.1,9.4
64.0,30.4,3.6,8.6,2.1,4.9,0.7,1.1,3.7,4.2,1.4,0.7,1.1,9.4
49.0,24.5,3.2,7.8,1.6,3.7,1.5,1.9,2.7,3.3,0.8,0.5,0.7,9.4
73.0,27.9,3.6,7.5,3.2,6.1,1.6,2.2,3.6,6.0,0.7,1.0,1.0,9.3
6.0,21.5,3.2,8.3,2.1,5.2,1.4,1.7,2.6,3.6,1.0,0.5,0.9,9.1
0.0,21.0,3.5,9.2,2.4,6.4,1.9,2.2,2.3,3.5,0.7,0.6,1.1,9.9
6.0,21.7,3.1,7.8,1.9,4.6,1.2,1.5,2.7,3.6,1.1,0.5,0.9,8.7
67.0,30.6,3.6,6.4,3.6,6.4,2.0,3.2,5.7,9.3,0.6,0.3,1.3,9.1
19.0,26.5,3.1,5.6,3.1,5.5,1.8,3.1,4.6,7.4,0.9,0.3,1.1,8.1
16.0,24.8,3.0,8.6,2.1,5.5,2.1,2.5,2.6,3.2,3.0,1.2,1.7,9.1
14.0,26.5,3.3,9.0,2.4,5.9,2.1,2.5,3.0,3.5,3.5,1.3,1.8,9.6
2.0,21.1,2.5,7.6,1.4,4.6,2.1,2.4,1.8,2.3,2.0,0.9,1.4,8.1
80.0,27.4,3.4,8.1,1.8,4.0,0.9,1.0,2.1,2.3,3.9,0.8,1.1,9.1
0.0,24.3,2.7,6.8,2.2,4.8,3.2,3.8,2.3,3.6,4.5,0.9,1.7,9.1
13.0,22.5,3.4,8.2,2.3,4.6,1.2,1.6,3.6,4.1,1.0,1.0,0.8,9.0
4.0,20.1,3.4,7.6,2.1,4.3,0.9,1.2,2.5,3.0,1.2,0.5,0.6,8.9
75.0,27.4,3.2,7.4,1.3,2.7,0.7,0.9,4.1,4.9,1.2,0.9,0.8,8.9
53.0,30.0,3.6,7.4,3.5,6.9,1.5,2.3,2.4,3.2,2.7,1.6,0.9,8.8
53.0,31.4,3.9,7.8,3.7,7.3,1.5,2.4,2.6,3.4,2.8,1.6,1.0,9.5
75.0,27.1,3.3,7.1,2.0,4.1,0.9,1.2,2.4,3.1,1.7,0.6,0.9,8.8
58.0,25.9,3.3,6.9,2.5,4.3,1.3,1.8,4.2,5.5,1.7,0.7,1.4,8.8
37.0,23.8,3.0,7.1,2.6,5.5,2.2,2.7,3.9,4.9,1.9,0.5,1.3,8.8
3.0,25.0,3.2,7.3,2.8,6.0,1.9,2.4,2.3,2.8,3.3,0.9,1.5,8.8
18.0,21.3,3.4,7.4,2.8,5.6,1.3,1.6,1.5,1.8,2.1,0.4,0.9,8.7
24.0,22.5,3.1,7.2,1.6,3.1,0.9,1.5,2.3,2.9,0.7,0.7,0.9,8.7
65.0,21.6,3.3,6.6,3.3,6.4,1.9,2.5,2.0,2.9,0.7,0.6,0.8,8.6
12.0,19.4,3.2,7.0,2.0,3.9,1.0,1.2,1.2,1.9,2.0,0.8,1.0,8.6
1.0,16.4,3.4,7.2,3.4,7.1,1.7,2.3,2.7,4.1,0.6,0.5,0.8,8.6
7.0,28.5,3.5,6.1,3.5,6.1,1.5,2.3,5.1,7.6,1.1,0.9,0.9,8.6
23.0,19.2,3.1,7.5,2.2,5.2,1.4,1.8,1.1,1.4,0.6,0.4,0.8,8.6
11.0,17.6,2.7,6.5,2.3,5.3,2.7,3.3,1.4,1.6,2.3,0.4,1.3,8.5
50.0,21.4,3.2,7.3,2.3,4.9,1.2,1.8,2.4,3.1,0.9,0.5,1.2,8.5
1.0,17.6,2.8,7.8,2.8,7.6,2.9,3.9,2.7,4.8,1.0,0.6,0.7,8.5
73.0,20.9,3.6,6.4,3.6,6.4,1.4,2.0,3.6,4.9,0.5,0.4,1.1,8.5
28.0,19.7,3.1,7.8,1.8,4.5,0.9,1.3,2.5,3.0,1.0,0.4,0.9,8.5
0.0,20.4,3.1,7.5,2.0,4.4,1.3,1.6,1.9,2.4,1.7,0.5,1.6,8.5
76.0,22.9,3.7,7.4,3.7,7.3,1.0,1.4,3.3,5.0,0.7,0.4,0.8,8.4
9.0,22.6,3.3,8.3,2.9,7.1,1.3,1.8,3.9,4.5,2.9,0.6,1.6,8.4
8.0,20.3,3.1,6.0,2.6,4.7,1.6,2.2,1.3,1.9,3.1,0.7,1.3,8.3
38.0,27.3,3.0,8.6,1.9,5.3,1.1,1.6,2.2,2.5,3.4,1.0,1.8,8.2
13.0,28.4,3.5,10.3,2.5,7.0,1.6,2.0,2.4,2.8,3.9,1.0,2.3,9.7
25.0,26.2,2.4,6.8,1.2,3.5,0.6,1.1,2.0,2.2,2.9,0.9,1.4,6.6
24.0,22.4,3.0,7.8,2.5,5.7,1.6,2.1,2.4,3.1,3.3,0.5,1.5,8.2
0.0,7.7,1.2,3.2,1.0,2.8,0.7,1.0,0.8,0.8,1.0,0.0,0.2,3.2
24.0,26.1,3.5,9.0,2.9,6.4,1.8,2.4,2.8,3.7,3.9,0.6,1.8,9.4
1.0,24.3,2.7,6.0,1.3,2.8,1.3,1.7,2.2,3.4,1.4,1.0,0.8,8.2
1.0,21.1,3.1,6.8,3.1,6.6,2.0,2.8,1.9,2.6,3.1,0.7,1.7,8.2
7.0,20.7,3.1,7.2,2.3,4.9,1.2,1.5,1.9,2.2,1.3,0.7,0.8,8.1
2.0,23.2,2.6,6.8,1.0,2.5,1.4,1.6,2.1,2.6,2.0,1.0,1.2,8.1
4.0,23.0,3.3,7.0,2.4,4.7,0.6,0.7,2.2,2.6,1.8,0.4,0.8,8.1
37.0,21.2,2.7,7.2,1.6,3.9,1.4,1.7,1.9,2.5,1.3,0.7,1.2,8.0
37.0,24.8,3.3,8.3,1.9,4.6,1.8,2.2,2.1,2.8,1.5,0.8,1.5,9.7
62.0,32.4,2.7,6.7,1.1,2.5,1.1,1.6,3.6,4.7,2.4,0.8,1.0,8.0
51.0,24.2,3.2,7.1,2.3,4.9,0.9,1.2,1.8,2.6,3.8,1.1,2.1,8.0
2.0,18.0,2.8,6.1,1.9,3.8,1.5,2.0,1.7,2.1,3.0,0.6,1.6,7.9
2.0,21.7,2.8,7.6,1.8,4.8,1.3,1.7,2.4,3.8,0.9,0.6,1.1,7.8
2.0,27.6,3.2,8.8,2.2,5.7,1.6,2.1,3.0,4.7,0.9,0.8,1.3,9.0
0.0,14.3,2.3,6.0,1.4,3.8,1.0,1.1,1.6,2.6,0.9,0.4,0.8,6.4
23.0,18.2,3.4,6.0,3.4,6.0,1.1,2.0,4.0,6.4,0.8,0.6,1.4,7.8
19.0,23.0,3.1,7.3,1.7,3.3,0.3,0.4,2.2,2.4,0.9,0.6,0.6,7.8
2.0,16.4,3.0,5.3,3.0,5.2,1.8,2.8,2.5,3.8,1.1,0.4,1.2,7.8
52.0,29.4,2.8,6.6,2.2,4.3,1.5,2.1,2.4,3.0,5.1,1.3,2.2,7.8
6.0,14.5,2.7,6.2,1.4,2.8,1.1,1.3,2.1,3.2,0.6,0.4,0.9,7.7
18.0,19.8,3.0,6.8,2.3,4.7,1.0,1.2,1.7,1.9,3.3,0.4,1.3,7.6
10.0,17.3,2.9,6.6,2.1,4.4,1.0,1.2,1.6,1.7,1.5,0.4,1.1,7.6
74.0,31.3,3.2,6.8,3.2,6.7,1.1,1.6,8.4,11.8,2.5,1.3,1.2,7.5
51.0,31.3,3.3,7.0,3.2,6.9,1.2,1.8,8.8,12.1,3.0,1.4,1.3,7.7
23.0,31.2,3.1,6.3,3.1,6.3,0.8,1.3,7.5,11.1,1.5,1.1,1.2,7.0
82.0,27.2,2.6,6.8,1.6,4.1,1.4,1.6,1.8,2.1,2.5,1.1,1.0,7.5
1.0,15.8,2.7,5.9,1.8,3.5,1.2,1.3,1.6,2.3,0.8,0.6,0.8,7.5
19.0,19.8,3.4,6.6,3.4,6.4,0.6,0.9,2.2,2.8,1.5,0.6,0.9,7.5
59.0,30.9,2.5,6.7,1.2,2.9,1.0,1.4,2.2,2.7,5.6,0.9,1.6,7.4
2.0,16.5,2.5,5.4,1.9,4.5,1.6,2.6,1.6,3.0,0.6,0.6,0.9,7.4
6.0,20.9,3.0,6.8,2.9,6.5,1.2,1.6,3.6,5.4,0.8,0.2,1.0,7.4
1.0,16.5,2.8,6.2,2.7,5.5,1.7,2.2,1.6,2.5,0.7,0.4,1.2,7.4
38.0,27.0,2.7,6.5,1.3,2.9,0.5,0.6,2.1,2.3,4.8,0.7,1.6,7.3
28.0,27.4,2.8,7.0,1.3,2.9,0.5,0.6,2.0,2.3,4.0,0.7,1.3,7.6
10.0,26.3,2.6,5.8,1.2,2.8,0.4,0.6,2.2,2.4,6.1,0.7,2.2,6.8
81.0,28.3,2.5,5.9,1.2,2.6,0.9,1.2,2.5,2.9,1.9,0.8,0.9,7.3
2.0,15.4,2.6,6.3,1.5,3.2,1.1,1.3,1.4,1.6,1.9,0.6,1.1,7.3
0.0,18.0,2.7,6.3,1.7,3.5,0.7,1.0,1.4,1.6,1.5,0.6,0.9,7.2
0.0,18.3,2.7,5.4,1.5,3.3,0.8,0.9,1.9,2.1,1.7,0.5,0.8,7.2
1.0,18.8,3.2,6.5,3.2,6.4,0.8,1.0,2.3,3.1,0.9,0.8,1.1,7.2
0.0,17.7,2.6,5.9,2.6,5.9,1.8,2.8,3.7,5.5,0.5,0.5,1.0,7.1
0.0,20.6,2.9,6.7,2.9,6.6,2.3,3.3,4.6,6.4,0.6,0.7,1.2,8.1
16.0,12.5,2.8,5.3,2.0,3.4,0.8,0.9,1.2,1.4,1.3,0.5,1.0,7.1
1.0,17.0,2.3,5.7,1.4,3.3,1.5,1.8,1.2,1.4,1.3,0.6,0.9,7.1
22.0,24.8,2.5,6.2,1.5,3.0,1.1,1.5,1.5,1.8,3.4,1.2,1.7,7.1
39.0,21.2,2.5,6.5,1.2,2.8,0.7,1.2,2.4,2.7,0.9,0.5,0.6,7.1
1.0,20.8,2.7,5.8,1.8,3.6,0.8,1.0,2.6,3.3,1.3,0.7,0.7,7.1
0.0,17.9,2.5,6.7,1.4,3.4,0.7,0.8,1.4,1.6,1.3,0.6,0.7,7.0
0.0,16.9,2.6,6.4,1.3,3.1,0.7,0.8,1.2,1.4,1.0,0.6,0.5,7.2
0.0,20.6,2.4,7.4,1.6,4.1,0.7,0.7,1.9,2.2,2.1,0.7,1.1,6.4
8.0,17.9,2.6,5.7,1.2,2.2,0.5,0.7,2.5,3.3,1.0,0.5,0.6,7.0
18.0,22.1,2.9,5.6,2.9,5.4,1.2,1.3,1.7,2.2,3.6,0.5,1.6,6.9
18.0,25.6,3.8,7.1,3.8,7.0,1.6,1.8,1.8,2.2,4.5,0.5,1.9,9.2
8.0,18.3,2.4,6.1,1.3,3.2,0.9,1.2,0.9,1.0,2.5,0.6,1.1,6.9
29.0,20.4,2.8,5.5,2.8,5.4,1.2,2.0,3.2,5.3,0.5,0.5,0.9,6.8
18.0,21.4,3.1,6.4,3.1,6.3,0.5,0.9,3.3,4.7,1.5,0.7,1.1,6.7
18.0,25.6,3.8,7.8,3.8,7.8,0.6,1.2,3.8,5.5,1.8,0.8,1.4,8.3
8.0,15.9,2.5,5.3,2.0,3.9,1.0,1.4,1.0,1.3,3.2,0.8,1.7,6.6
0.0,13.3,2.3,4.9,1.9,3.8,1.1,1.6,0.9,1.3,3.1,0.7,1.5,6.0
8.0,19.7,2.9,6.0,2.3,4.1,0.9,1.1,1.1,1.4,3.4,0.8,2.0,7.4
1.0,16.7,2.6,6.0,2.3,5.1,1.1,1.3,0.9,1.1,2.6,0.4,1.0,6.6
1.0,18.2,2.5,5.9,1.7,3.8,0.8,0.9,1.7,2.1,1.0,0.3,1.0,6.6
39.0,22.7,2.4,6.2,1.4,3.4,0.7,0.9,1.4,1.9,1.5,0.5,0.8,6.5
10.0,20.8,2.4,6.0,1.6,3.4,0.8,1.1,2.3,2.8,1.1,0.4,0.9,6.5
2.0,18.4,2.1,5.4,1.2,3.2,1.3,1.6,1.1,1.2,2.4,0.6,0.9,6.4
19.0,16.1,2.6,5.1,2.6,5.1,1.2,1.9,2.6,4.1,0.2,0.3,0.9,6.4
1.0,17.3,2.3,5.2,2.3,5.1,1.8,2.6,1.9,3.8,0.6,0.4,1.0,6.3
10.0,19.1,2.2,4.8,1.0,2.1,0.6,0.9,1.1,1.3,1.3,0.4,0.6,6.3
0.0,18.1,2.8,5.1,2.7,5.0,0.8,1.3,3.5,5.4,0.1,0.3,0.9,6.3
5.0,19.2,2.4,6.3,1.3,2.9,0.3,0.4,1.9,2.1,1.7,0.4,0.7,6.3
20.0,21.7,2.5,6.7,1.8,4.0,0.5,0.7,3.1,4.3,1.1,0.7,1.1,6.2
0.0,16.6,1.8,5.3,0.9,2.5,0.5,0.8,2.6,3.6,0.9,0.4,0.6,4.9
20.0,23.0,2.7,7.0,2.0,4.4,0.5,0.6,3.2,4.5,1.2,0.8,1.2,6.6
5.0,17.7,2.5,4.1,2.5,4.0,1.2,1.8,2.9,4.8,0.6,0.5,0.8,6.2
62.0,25.6,2.4,5.1,2.3,4.8,1.3,1.8,3.1,5.5,1.1,0.8,1.0,6.2
8.0,16.5,2.4,4.7,2.4,4.6,1.3,2.2,1.7,2.7,1.3,1.1,1.2,6.1
35.0,22.0,2.5,5.2,2.4,4.9,1.1,1.3,1.4,1.8,3.1,0.5,0.8,6.1
27.0,16.8,2.3,4.2,2.3,4.1,1.5,2.2,1.8,2.8,0.7,0.3,1.3,6.1
47.0,23.3,2.4,3.9,2.4,3.8,1.1,1.8,4.9,7.3,0.6,0.3,1.1,6.0
27.0,22.4,2.6,5.1,2.6,5.1,0.8,1.0,3.1,4.6,0.8,0.4,1.0,6.0
82.0,28.6,2.4,5.4,1.9,3.8,0.7,1.1,3.8,4.7,1.8,1.2,1.1,6.0
18.0,20.8,2.3,5.2,1.3,2.5,0.4,0.5,1.5,1.5,3.6,0.6,1.1,6.0
0.0,22.3,1.9,3.3,1.9,3.3,2.2,3.1,4.4,6.4,0.4,0.6,0.8,5.9
5.0,20.8,2.4,4.1,2.4,4.1,1.0,1.4,3.1,5.1,0.5,0.5,0.8,5.9
0.0,14.1,2.3,5.4,1.9,4.2,0.7,1.1,2.4,3.3,0.7,0.2,0.6,5.8
50.0,21.0,2.7,5.6,2.7,5.5,0.5,0.7,4.0,5.9,1.1,0.6,1.0,5.8
5.0,16.7,2.2,5.0,1.5,2.8,0.6,0.8,1.2,1.9,0.6,0.4,0.3,5.7
12.0,17.1,2.2,5.3,1.1,2.3,0.2,0.3,0.9,1.2,0.7,0.4,0.6,5.7
4.0,18.4,2.4,4.9,2.3,4.3,0.7,1.1,1.3,1.9,1.3,0.5,0.8,5.6
31.0,19.8,2.1,4.8,1.8,4.0,1.3,1.6,2.2,3.1,1.7,0.8,1.0,5.6
5.0,13.2,2.1,6.0,1.5,3.9,0.7,0.7,1.1,1.2,1.4,0.5,0.8,5.5
67.0,28.6,2.3,4.2,2.3,4.2,0.9,2.3,5.1,8.7,1.5,1.2,0.9,5.5
4.0,16.9,2.0,4.6,0.9,1.8,0.4,0.5,2.1,2.5,0.7,0.9,0.3,5.4
37.0,25.6,2.0,4.5,1.7,3.5,1.1,1.7,2.3,4.1,1.4,0.9,1.1,5.3
37.0,28.1,2.0,4.4,1.6,3.2,1.2,1.8,2.4,4.3,1.6,1.0,1.2,5.5
0.0,18.4,2.0,4.7,1.9,4.2,0.8,1.5,1.9,3.6,1.0,0.5,0.8,4.9
2.0,17.2,1.8,5.1,1.0,2.3,0.8,0.9,2.3,2.7,0.7,0.7,0.8,5.3
0.0,13.3,2.1,4.3,2.1,4.2,1.0,1.4,2.1,3.7,0.4,0.3,0.6,5.2
0.0,10.5,1.7,3.8,1.7,3.8,0.6,0.9,1.2,2.5,0.3,0.4,0.5,4.0
2.0,22.5,1.6,4.5,0.6,1.3,0.9,1.0,3.9,4.3,1.5,0.5,0.7,5.2
4.0,13.3,2.0,4.3,1.6,2.9,0.7,0.8,2.0,2.5,0.5,0.4,0.7,5.1
4.0,12.4,1.6,3.7,1.1,2.4,1.3,1.9,0.9,1.1,0.8,0.5,1.0,5.0
